 additive_.C3_electrostatic_charge , additive_E_LUMO , additive_molecular_weight , additive_ovality , aryl_halide_.C1_NMR_shift , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_E_LUMO , aryl_halide_V2_intensity , aryl_halide_hardness , aryl_halide_ovality , base_hardness , ligand_.C11_electrostatic_charge , ligand_.C15_electrostatic_charge , ligand_.C16_electrostatic_charge , ligand_.C17_NMR_shift , ligand_.C17_electrostatic_charge , ligand_.C5_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.H11_electrostatic_charge , ligand_.P1_electrostatic_charge , ligand_V1_intensity , ligand_V2_intensity , ligand_V3_frequency , ligand_V5_frequency , ligand_V7_intensity , ligand_V8_intensity , yield 
-0.780231,-0.398669,-0.20607,-0.443595,0.570986,0.28035,-0.467225,0.179111,-0.414821,-0.265452,0.634119,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,10.66
-0.780231,-0.398669,-0.20607,-0.443595,0.568563,0.336673,-0.467402,0.158068,-0.438797,-0.265452,0.833543,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,14.75
-0.780231,-0.398669,-0.20607,-0.443595,0.33689,0.080986,0.067187,0.138263,-0.46231,-0.280068,1.055124,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,18.28
-0.780231,-0.398669,-0.20607,-0.443595,0.539816,0.291794,-0.545883,0.523224,1.281066,-0.280068,0.279589,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,2.48
-0.780231,-0.398669,-0.20607,-0.443595,0.534041,0.345971,-0.54314,-3.663073,2.602441,3.695556,0.479012,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,6.12
-0.780231,-0.398669,-0.20607,-0.443595,-1.402122,-1.624068,-1.057556,0.336314,2.043338,-0.280068,0.722752,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,5.45
-0.780231,-0.398669,-0.20607,-0.443595,0.556549,0.27445,-0.452184,0.540554,-0.519403,-0.265452,0.811385,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,7.8
-0.780231,-0.398669,-0.20607,-0.443595,0.553146,0.331488,-0.45006,0.526938,-0.52086,-0.265452,0.98865,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,14.23
-0.780231,-0.398669,-0.20607,-0.443595,-0.66387,0.306098,2.202713,0.315271,-0.521092,-0.280068,1.232389,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,15.41
-0.780231,-0.398669,-0.20607,-0.443595,0.608885,0.208472,-0.388744,0.205105,-0.452077,-0.265452,-1.40443,-0.718434,0.957226,-0.27466,-1.591601,-0.651927,-1.325368,-1.087005,0.674433,0.264945,1.258717,-0.061407,-0.896134,1.675731,-0.396509,1.2461,1.585154,9.47
