 additive_.C4_NMR_shift , additive_.C5_NMR_shift , additive_.O1_electrostatic_charge , additive_E_HOMO , additive_V1_intensity , additive_molecular_volume , additive_molecular_weight , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_V2_intensity , aryl_halide_V3_intensity , base_E_HOMO , base_surface_area , ligand_.C11_NMR_shift , ligand_.C11_electrostatic_charge , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C14_NMR_shift , ligand_.C16_electrostatic_charge , ligand_.C17_NMR_shift , ligand_.C1_electrostatic_charge , ligand_.C2_NMR_shift , ligand_.C3_NMR_shift , ligand_.C5_NMR_shift , ligand_.C6_NMR_shift , ligand_.C7_NMR_shift , ligand_.C8_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.H11_electrostatic_charge , ligand_V10_frequency , ligand_V1_intensity , ligand_V2_intensity , ligand_V4_intensity , ligand_V5_frequency , ligand_V6_frequency , ligand_V7_frequency , ligand_V8_intensity , ligand_V9_frequency , ligand_dipole_moment , yield 
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.570986,-0.467225,0.248132,-0.414821,-0.6235,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,10.66
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.568563,-0.467402,-0.033,-0.438797,-0.691324,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,14.75
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.33689,0.067187,-0.122636,-0.46231,-0.736723,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,18.28
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.539816,-0.545883,-0.774534,1.281066,-0.327372,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,2.48
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.534041,-0.54314,-0.729716,2.602441,1.166942,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,6.12
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,-1.402122,-1.057556,-1.198269,2.043338,-0.200914,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,5.45
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.556549,-0.452184,0.239983,-0.519403,-0.87062,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,7.8
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.553146,-0.45006,0.015893,-0.52086,-0.8896,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,14.23
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,-0.66387,2.202713,-0.134859,-0.521092,-0.898734,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,15.41
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.608885,-0.388744,1.666011,-0.452077,1.671355,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,9.47
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.615098,-0.390691,1.706755,-0.370445,0.948264,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,15.24
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,-2.887677,0.731575,1.759722,-0.241722,2.270557,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,19.59
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.557348,-0.501466,-0.782683,-0.514799,-0.435562,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,7.79
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.555311,-0.496954,-0.92936,-0.51821,-0.34854,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,9.68
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,-0.645694,2.394801,-1.308277,-0.517714,-0.270597,1.203806,1.386635,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,13.18
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.570986,-0.467225,0.248132,-0.414821,-0.6235,-1.257498,-0.413591,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,14.02
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.568563,-0.467402,-0.033,-0.438797,-0.691324,-1.257498,-0.413591,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,30.59
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.33689,0.067187,-0.122636,-0.46231,-0.736723,-1.257498,-0.413591,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,38.16
-0.752083,1.049181,0.945404,0.58013,-0.603721,-0.063759,-0.20607,0.539816,-0.545883,-0.774534,1.281066,-0.327372,-1.257498,-0.413591,-0.61793,0.957226,-0.462761,-1.37714,0.699741,-1.591601,-0.651927,-0.824471,-1.357145,1.01399,-1.087005,0.531409,0.721067,-0.859707,0.674433,0.264945,1.721359,-0.061407,-0.896134,-0.418783,-0.396509,1.323771,-0.419848,1.585154,-0.157776,-1.023661,0.46
