 additive_.C4_electrostatic_charge , additive_.C5_NMR_shift , additive_.N1_electrostatic_charge , additive_.O1_electrostatic_charge , additive_E_LUMO , additive_V1_frequency , additive_dipole_moment , additive_molecular_weight , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_V1_frequency , aryl_halide_V2_intensity , aryl_halide_molecular_volume , aryl_halide_ovality , base_surface_area , ligand_.C11_NMR_shift , ligand_.C12_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C15_electrostatic_charge , ligand_.C17_electrostatic_charge , ligand_.C1_electrostatic_charge , ligand_.C2_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C6_NMR_shift , ligand_.C6_electrostatic_charge , ligand_.C8_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.C9_NMR_shift , ligand_.H11_NMR_shift , ligand_.H9_NMR_shift , ligand_V3_intensity , ligand_V4_frequency , ligand_V5_frequency , ligand_V7_intensity , yield 
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.28035,-0.467225,-0.242168,-0.414821,0.507799,0.634119,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,10.66
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.336673,-0.467402,-0.24992,-0.438797,0.735289,0.833543,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,14.75
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.080986,0.067187,-0.260124,-0.46231,1.082324,1.055124,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,18.28
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.291794,-0.545883,-0.364317,1.281066,0.260132,0.279589,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,2.48
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.345971,-0.54314,3.690313,2.602441,0.487118,0.479012,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,6.12
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,-1.624068,-1.057556,-0.383154,2.043338,0.833649,0.722752,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,5.45
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.27445,-0.452184,-0.25727,-0.519403,0.748404,0.811385,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,7.8
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.331488,-0.45006,-0.270149,-0.52086,0.976398,0.98865,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,14.23
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.306098,2.202713,-0.279797,-0.521092,1.322929,1.232389,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,15.41
0.000003,1.049181,0.264299,0.945404,-0.398669,0.184409,-0.438111,-0.20607,0.208472,-0.388744,-0.182975,-0.452077,-1.431666,-1.40443,1.386635,-0.61793,-1.050006,-1.37714,-0.27466,-1.325368,-0.824471,-0.525429,-1.081315,0.531409,1.513452,-0.859707,0.674433,0.780026,1.142689,-0.653141,-1.481912,-0.569719,-0.396509,1.2461,9.47
