 additive_E_HOMO , additive_dipole_moment , additive_hardness , additive_ovality , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.H2_NMR_shift , aryl_halide_E_LUMO , aryl_halide_hardness , aryl_halide_molecular_weight , base_electronegativity , base_hardness , base_molecular_volume , ligand_.C12_electrostatic_charge , ligand_.C13_electrostatic_charge , ligand_.C14_electrostatic_charge , ligand_.C15_NMR_shift , ligand_.C16_NMR_shift , ligand_.C5_electrostatic_charge , ligand_.C8_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.C9_electrostatic_charge , ligand_.H3_electrostatic_charge , ligand_.H4_electrostatic_charge , ligand_.H9_electrostatic_charge , ligand_V1_intensity , ligand_V3_intensity , ligand_V7_frequency , ligand_V9_frequency , ligand_dipole_moment , yield 
0.58013,-0.438111,-0.869706,-0.443595,0.570986,-0.467225,0.248132,-0.71963,0.179111,-0.265452,-0.1129,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,10.66
0.58013,-0.438111,-0.869706,-0.443595,0.568563,-0.467402,-0.033,-0.718703,0.158068,-0.265452,0.882404,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,14.75
0.58013,-0.438111,-0.869706,-0.443595,0.33689,0.067187,-0.122636,1.572531,0.138263,-0.280068,1.934463,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,18.28
0.58013,-0.438111,-0.869706,-0.443595,0.539816,-0.545883,-0.774534,-0.720804,0.523224,-0.280068,-0.963015,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,2.48
0.58013,-0.438111,-0.869706,-0.443595,0.534041,-0.54314,-0.729716,-0.719877,-3.663073,3.695556,0.032177,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,6.12
0.58013,-0.438111,-0.869706,-0.443595,-1.402122,-1.057556,-1.198269,1.42066,0.336314,-0.280068,1.084348,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,5.45
0.58013,-0.438111,-0.869706,-0.443595,0.556549,-0.452184,0.239983,-0.720681,0.540554,-0.265452,-1.007165,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,7.8
0.58013,-0.438111,-0.869706,-0.443595,0.553146,-0.45006,0.015893,-0.719877,0.526938,-0.265452,-0.011861,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,14.23
0.58013,-0.438111,-0.869706,-0.443595,-0.66387,2.202713,-0.134859,1.768844,0.315271,-0.280068,1.040198,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,15.41
0.58013,-0.438111,-0.869706,-0.443595,0.608885,-0.388744,1.666011,-0.72099,0.205105,-0.265452,-1.613133,-0.922213,-0.718434,1.392101,-0.120792,-1.37714,0.230766,-0.005036,0.070231,-1.081315,-0.859707,0.674433,-0.492467,-0.594215,-1.058716,-0.895436,-0.061407,-1.481912,-0.419848,-0.157776,-1.023661,9.47
