 additive_.C4_electrostatic_charge , additive_.C5_electrostatic_charge , additive_dipole_moment , additive_molecular_weight , aryl_halide_.C1_NMR_shift , aryl_halide_.C2_NMR_shift , aryl_halide_.C2_electrostatic_charge , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.C4_NMR_shift , aryl_halide_molecular_weight , base_E_HOMO , base_surface_area , ligand_.C10_NMR_shift , ligand_.C10_electrostatic_charge , ligand_.C11_NMR_shift , ligand_.C11_electrostatic_charge , ligand_.C13_electrostatic_charge , ligand_.C14_electrostatic_charge , ligand_.C16_NMR_shift , ligand_.C16_electrostatic_charge , ligand_.C17_electrostatic_charge , ligand_.C2_electrostatic_charge , ligand_.C5_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.H11_NMR_shift , ligand_.H11_electrostatic_charge , ligand_.H3_NMR_shift , ligand_.H4_NMR_shift , ligand_.H9_NMR_shift , ligand_.P1_electrostatic_charge , ligand_V10_intensity , ligand_V2_intensity , ligand_V3_frequency , ligand_V4_intensity , ligand_V6_intensity , ligand_V8_intensity , ligand_V9_intensity , ligand_dipole_moment , yield 
0.000003,-0.070762,-0.438111,-0.20607,0.570986,0.28035,-0.49256,-0.467225,0.248132,-0.44251,-0.1129,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,10.66
0.000003,-0.070762,-0.438111,-0.20607,0.568563,0.336673,0.198888,-0.467402,-0.033,-0.441532,0.882404,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,14.75
0.000003,-0.070762,-0.438111,-0.20607,0.33689,0.080986,0.405424,0.067187,-0.122636,2.222539,1.934463,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,18.28
0.000003,-0.070762,-0.438111,-0.20607,0.539816,0.291794,-0.070508,-0.545883,-0.774534,-0.408553,-0.963015,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,2.48
0.000003,-0.070762,-0.438111,-0.20607,0.534041,0.345971,0.311136,-0.54314,-0.729716,-0.407785,0.032177,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,6.12
0.000003,-0.070762,-0.438111,-0.20607,-1.402122,-1.624068,1.007074,-1.057556,-1.198269,0.416224,1.084348,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,5.45
0.000003,-0.070762,-0.438111,-0.20607,0.556549,0.27445,-0.788895,-0.452184,0.239983,-0.427935,-1.007165,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,7.8
0.000003,-0.070762,-0.438111,-0.20607,0.553146,0.331488,-0.128877,-0.45006,0.015893,-0.426873,-0.011861,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,14.23
0.000003,-0.070762,-0.438111,-0.20607,-0.66387,0.306098,0.171948,2.202713,-0.134859,2.344377,1.040198,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,15.41
0.000003,-0.070762,-0.438111,-0.20607,0.608885,0.208472,-1.826068,-0.388744,1.666011,-0.45633,-1.613133,1.203806,1.386635,0.263884,0.309141,-0.61793,0.957226,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-0.525429,-1.087005,0.674433,1.142689,0.264945,1.021226,0.926532,-0.653141,1.258717,1.756769,-0.896134,1.675731,-0.418783,-1.305512,1.585154,1.066551,-1.023661,9.47
