 additive_.C4_electrostatic_charge , additive_dipole_moment , aryl_halide_.C3_NMR_shift , base_.N1_electrostatic_charge , base_E_LUMO , base_surface_area , ligand_.C5_NMR_shift , ligand_.C5_electrostatic_charge , ligand_.C9_NMR_shift , ligand_V10_frequency , ligand_V8_intensity , ligand_V9_frequency , yield 
0.000003,-0.438111,-0.467225,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,10.66
0.000003,-0.438111,-0.467402,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,14.75
0.000003,-0.438111,0.067187,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,18.28
0.000003,-0.438111,-0.545883,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,2.48
0.000003,-0.438111,-0.54314,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,6.12
0.000003,-0.438111,-1.057556,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,5.45
0.000003,-0.438111,-0.452184,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,7.8
0.000003,-0.438111,-0.45006,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,14.23
0.000003,-0.438111,2.202713,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,15.41
0.000003,-0.438111,-0.388744,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,9.47
0.000003,-0.438111,-0.390691,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,15.24
0.000003,-0.438111,0.731575,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,19.59
0.000003,-0.438111,-0.501466,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,7.79
0.000003,-0.438111,-0.496954,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,9.68
0.000003,-0.438111,2.394801,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,13.18
0.000003,-0.438111,-0.467225,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,14.02
0.000003,-0.438111,-0.467402,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,30.59
0.000003,-0.438111,0.067187,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,38.16
0.000003,-0.438111,-0.545883,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.46
0.000003,-0.438111,-0.54314,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,3.87
0.000003,-0.438111,-1.057556,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,7.02
0.000003,-0.438111,-0.452184,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,2.85
0.000003,-0.438111,-0.45006,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,18.87
0.000003,-0.438111,2.202713,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,25.07
0.000003,-0.438111,-0.388744,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,21.67
0.000003,-0.438111,-0.390691,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,48.49
0.000003,-0.438111,0.731575,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,58.61
0.000003,-0.438111,-0.501466,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,4.17
0.000003,-0.438111,-0.496954,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,11.38
0.000003,-0.438111,2.394801,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,24.42
0.000003,-0.438111,-0.467225,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,14.97
0.000003,-0.438111,-0.467402,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,30.29
0.000003,-0.438111,0.067187,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,39.58
0.000003,-0.438111,-0.545883,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.34
0.000003,-0.438111,-0.54314,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,3.12
0.000003,-0.438111,-1.057556,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,5.14
0.000003,-0.438111,-0.452184,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,3.92
0.000003,-0.438111,-0.45006,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,15.4
0.000003,-0.438111,2.202713,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,22.45
0.000003,-0.438111,-0.388744,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,23.69
0.000003,-0.438111,-0.390691,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,42.69
0.000003,-0.438111,0.731575,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,54.83
0.000003,-0.438111,-0.501466,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,6.35
0.000003,-0.438111,-0.496954,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,14.16
0.000003,-0.438111,2.394801,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,17.38
-0.443267,1.929855,-0.467225,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,3.61
-0.443267,1.929855,-0.467402,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,35.08
-0.443267,1.929855,0.067187,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,43.32
-0.443267,1.929855,-0.54314,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,29.3
-0.443267,1.929855,-1.057556,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,37.57
-0.443267,1.929855,-0.452184,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.96
-0.443267,1.929855,-0.45006,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,59.02
-0.443267,1.929855,2.202713,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,70.97
-0.443267,1.929855,-0.388744,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,35.14
-0.443267,1.929855,-0.390691,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,37.65
-0.443267,1.929855,0.731575,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,51.1
-0.443267,1.929855,-0.501466,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,3.96
-0.443267,1.929855,-0.496954,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,31.93
-0.443267,1.929855,2.394801,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,48.71
-0.443267,1.929855,-0.467225,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,5.01
-0.443267,1.929855,-0.467402,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,35.09
-0.443267,1.929855,0.067187,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,41.25
-0.443267,1.929855,-0.54314,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,13.98
-0.443267,1.929855,-1.057556,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,18.9
-0.443267,1.929855,-0.452184,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.71
-0.443267,1.929855,-0.45006,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,32.63
-0.443267,1.929855,2.202713,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,31.82
-0.443267,1.929855,-0.388744,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,30.43
-0.443267,1.929855,-0.390691,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,53.64
-0.443267,1.929855,0.731575,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,59.48
-0.443267,1.929855,-0.501466,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,2.01
-0.443267,1.929855,-0.496954,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,26.51
-0.443267,1.929855,2.394801,-0.901301,-1.421259,-0.413591,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,36.85
-0.443267,1.929855,-0.467225,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,4.82
-0.443267,1.929855,-0.467402,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,34.81
-0.443267,1.929855,0.067187,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,46.63
-0.443267,1.929855,-0.54314,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,11.74
-0.443267,1.929855,-1.057556,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,26.65
-0.443267,1.929855,-0.452184,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.55
-0.443267,1.929855,-0.45006,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,35.87
-0.443267,1.929855,2.202713,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,68.84
-0.443267,1.929855,-0.388744,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,33.88
-0.443267,1.929855,-0.390691,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,63.07
-0.443267,1.929855,0.731575,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,70.63
-0.443267,1.929855,-0.501466,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,2.48
-0.443267,1.929855,-0.496954,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,31.68
-0.443267,1.929855,2.394801,1.374737,0.563444,-0.949447,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,46.01
-0.505119,2.172702,-0.467225,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,22.17
-0.505119,2.172702,-0.467402,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,23.21
-0.505119,2.172702,0.067187,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,34.75
-0.505119,2.172702,-0.545883,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,0.95
-0.505119,2.172702,-0.54314,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,16.65
-0.505119,2.172702,-1.057556,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,20
-0.505119,2.172702,-0.452184,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,4.99
-0.505119,2.172702,-0.45006,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,54
-0.505119,2.172702,2.202713,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,57.38
-0.505119,2.172702,-0.388744,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,22.61
-0.505119,2.172702,-0.390691,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,28.75
-0.505119,2.172702,0.731575,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,26.99
-0.505119,2.172702,-0.501466,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,20.86
-0.505119,2.172702,-0.496954,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,20.73
-0.505119,2.172702,2.394801,-0.519769,0.830295,1.386635,-1.087005,-1.081315,0.780026,1.721359,1.585154,-0.157776,30.87
