 aryl_halide_.C3_NMR_shift , aryl_halide_V3_intensity , ligand_.C15_NMR_shift , ligand_.C16_electrostatic_charge , ligand_V10_intensity , yield 
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,10.66
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,14.75
0.067187,-0.736723,-0.005036,-1.591601,1.756769,18.28
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,2.48
-0.54314,1.166942,-0.005036,-1.591601,1.756769,6.12
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,5.45
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,7.8
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,14.23
2.202713,-0.898734,-0.005036,-1.591601,1.756769,15.41
-0.388744,1.671355,-0.005036,-1.591601,1.756769,9.47
-0.390691,0.948264,-0.005036,-1.591601,1.756769,15.24
0.731575,2.270557,-0.005036,-1.591601,1.756769,19.59
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,7.79
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,9.68
2.394801,-0.270597,-0.005036,-1.591601,1.756769,13.18
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,14.02
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,30.59
0.067187,-0.736723,-0.005036,-1.591601,1.756769,38.16
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,0.46
-0.54314,1.166942,-0.005036,-1.591601,1.756769,3.87
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,7.02
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,2.85
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,18.87
2.202713,-0.898734,-0.005036,-1.591601,1.756769,25.07
-0.388744,1.671355,-0.005036,-1.591601,1.756769,21.67
-0.390691,0.948264,-0.005036,-1.591601,1.756769,48.49
0.731575,2.270557,-0.005036,-1.591601,1.756769,58.61
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,4.17
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,11.38
2.394801,-0.270597,-0.005036,-1.591601,1.756769,24.42
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,14.97
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,30.29
0.067187,-0.736723,-0.005036,-1.591601,1.756769,39.58
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,0.34
-0.54314,1.166942,-0.005036,-1.591601,1.756769,3.12
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,5.14
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,3.92
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,15.4
2.202713,-0.898734,-0.005036,-1.591601,1.756769,22.45
