 additive_.N1_electrostatic_charge , additive_E_LUMO , additive_V1_frequency , additive_V1_intensity , additive_dipole_moment , additive_ovality , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.C4_electrostatic_charge , aryl_halide_.H3_NMR_shift , aryl_halide_V2_frequency , aryl_halide_V3_frequency , aryl_halide_V3_intensity , aryl_halide_dipole_moment , base_E_HOMO , base_dipole_moment , base_surface_area , ligand_.C11_electrostatic_charge , ligand_.C12_electrostatic_charge , ligand_.C1_NMR_shift , ligand_.C2_electrostatic_charge , ligand_.C6_NMR_shift , ligand_.C7_NMR_shift , ligand_.H3_NMR_shift , ligand_.P1_electrostatic_charge , ligand_V1_frequency , ligand_V2_frequency , ligand_V5_frequency , ligand_V5_intensity , ligand_V8_intensity , yield 
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.570986,-0.467225,0.248132,-0.220205,-0.648905,0.293298,0.794127,-0.6235,-1.710721,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,10.66
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.568563,-0.467402,-0.033,-0.04339,-0.649125,0.254299,0.522362,-0.691324,-1.729249,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,14.75
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.33689,0.067187,-0.122636,0.02439,1.308386,0.209824,-0.191327,-0.736723,-1.388835,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,18.28
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.539816,-0.545883,-0.774534,1.097072,-0.654628,0.286935,0.48661,-0.327372,0.658154,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,2.48
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.534041,-0.54314,-0.729716,1.038133,-0.654701,3.314976,3.134349,1.166942,0.74786,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,6.12
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,-1.402122,-1.057556,-1.198269,1.391765,1.473181,0.206843,-0.479186,-0.200914,0.525511,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,5.45
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.556549,-0.452184,0.239983,-0.058124,-0.651986,0.416006,0.170985,-0.87062,0.027862,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,7.8
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.553146,-0.45006,0.015893,0.065647,-0.65206,-0.839555,-0.137391,-0.8896,0.117611,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,14.23
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,-0.66387,2.202713,-0.134859,0.162895,2.437152,-0.847995,-0.906121,-0.898734,-0.141682,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,15.41
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.608885,-0.388744,1.666011,-1.699564,-0.649565,-0.299728,-0.002738,1.671355,1.354264,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,9.47
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.615098,-0.390691,1.706755,-1.746715,-0.649932,-0.374495,-0.221181,0.948264,1.421563,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,15.24
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,-2.887677,0.731575,1.759722,-1.729033,0.684938,-0.479017,-0.914721,2.270557,1.171973,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,19.59
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.557348,-0.501466,-0.782683,0.649139,-0.652206,-0.605928,-0.282365,-0.435562,-0.23975,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,7.79
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,0.555311,-0.496954,-0.92936,0.711024,-0.652353,-0.647841,-0.559904,-0.34854,-0.242991,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,9.68
0.264299,-0.398669,0.184409,-0.603721,-0.438111,-0.443595,-0.645694,2.394801,-1.308277,0.867211,0.127819,-0.716429,-1.137711,-0.270597,-0.352563,1.203806,1.30054,1.386635,0.957226,-0.120792,1.558148,-0.525429,0.531409,0.721067,1.021226,1.258717,-0.568382,0.942736,-0.396509,-0.58927,1.585154,13.18
