 additive_.C3_electrostatic_charge , additive_.C4_electrostatic_charge , additive_.C5_electrostatic_charge , additive_.N1_electrostatic_charge , additive_.O1_electrostatic_charge , additive_E_LUMO , additive_V1_intensity , additive_dipole_moment , additive_electronegativity , additive_molecular_weight , additive_ovality , additive_surface_area , aryl_halide_.C1_NMR_shift , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.H2_NMR_shift , aryl_halide_.H2_electrostatic_charge , aryl_halide_.H3_electrostatic_charge , aryl_halide_V1_frequency , aryl_halide_V1_intensity , aryl_halide_V2_frequency , aryl_halide_V3_frequency , aryl_halide_dipole_moment , aryl_halide_hardness , aryl_halide_molecular_volume , aryl_halide_ovality , base_.N1_electrostatic_charge , base_E_HOMO , base_dipole_moment , base_electronegativity , base_hardness , base_surface_area , ligand_.C10_NMR_shift , ligand_.C11_NMR_shift , ligand_.C11_electrostatic_charge , ligand_.C12_NMR_shift , ligand_.C12_electrostatic_charge , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C14_NMR_shift , ligand_.C14_electrostatic_charge , ligand_.C17_NMR_shift , ligand_.C17_electrostatic_charge , ligand_.C1_NMR_shift , ligand_.C1_electrostatic_charge , ligand_.C2_electrostatic_charge , ligand_.C3_NMR_shift , ligand_.C3_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C6_electrostatic_charge , ligand_.C8_electrostatic_charge , ligand_.C9_electrostatic_charge , ligand_.H11_NMR_shift , ligand_.H11_electrostatic_charge , ligand_.H4_NMR_shift , ligand_.H9_NMR_shift , ligand_.H9_electrostatic_charge , ligand_.P1_electrostatic_charge , ligand_V10_frequency , ligand_V10_intensity , ligand_V1_intensity , ligand_V3_frequency , ligand_V3_intensity , ligand_V4_frequency , ligand_V4_intensity , ligand_V5_frequency , ligand_V6_frequency , ligand_V6_intensity , ligand_V7_frequency , ligand_V8_intensity , yield 
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.570986,0.28035,-0.467225,0.248132,-0.71963,1.002774,0.082068,-0.242168,-0.421392,0.293298,0.794127,-1.710721,-0.265452,0.507799,0.634119,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,10.66
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.568563,0.336673,-0.467402,-0.033,-0.718703,-0.227384,0.238116,-0.24992,-0.375834,0.254299,0.522362,-1.729249,-0.265452,0.735289,0.833543,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,14.75
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.33689,0.080986,0.067187,-0.122636,1.572531,-0.713726,0.264124,-0.260124,-0.382903,0.209824,-0.191327,-1.388835,-0.280068,1.082324,1.055124,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,18.28
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.539816,0.291794,-0.545883,-0.774534,-0.720804,0.831124,1.122389,-0.364317,-0.790703,0.286935,0.48661,0.658154,-0.280068,0.260132,0.279589,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,2.48
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.534041,0.345971,-0.54314,-0.729716,-0.719877,-0.255992,0.862309,3.690313,0.815621,3.314976,3.134349,0.74786,3.695556,0.487118,0.479012,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,6.12
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,-1.402122,-1.624068,-1.057556,-1.198269,1.42066,-0.799551,1.330453,-0.383154,-0.784288,0.206843,-0.479186,0.525511,-0.280068,0.833649,0.722752,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,5.45
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.556549,0.27445,-0.452184,0.239983,-0.720681,1.088599,-0.282045,-0.25727,-0.477554,0.416006,0.170985,0.027862,-0.265452,0.748404,0.811385,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,7.8
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.553146,0.331488,-0.45006,0.015893,-0.719877,-0.112951,-0.178013,-0.270149,-0.459095,-0.839555,-0.137391,0.117611,-0.265452,0.976398,0.98865,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,14.23
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,-0.66387,0.306098,2.202713,-0.134859,1.768844,-0.685117,-0.099988,-0.279797,-0.480173,-0.847995,-0.906121,-0.141682,-0.280068,1.322929,1.232389,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,15.41
-0.780231,0.000003,-0.070762,0.264299,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.20607,-0.443595,-0.163622,0.608885,0.208472,-0.388744,1.666011,-0.72099,1.918241,-1.53043,-0.182975,-0.795154,-0.299728,-0.002738,1.354264,-0.265452,-1.431666,-1.40443,-0.519769,1.203806,1.30054,-0.922213,-0.718434,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.651927,-1.325368,1.558148,-0.824471,-0.525429,1.01399,-0.077387,-1.081315,1.513452,0.674433,-0.492467,1.142689,0.264945,0.926532,-0.653141,-0.895436,1.258717,1.721359,1.756769,-0.061407,1.675731,-1.481912,-0.569719,-0.418783,-0.396509,1.323771,-1.305512,-0.419848,1.585154,9.47
