 additive_.C5_electrostatic_charge , additive_.O1_electrostatic_charge , additive_E_LUMO , additive_V1_intensity , additive_dipole_moment , additive_electronegativity , additive_molecular_volume , additive_ovality , additive_surface_area , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.H3_electrostatic_charge , aryl_halide_V2_frequency , aryl_halide_hardness , aryl_halide_ovality , base_.N1_electrostatic_charge , base_E_HOMO , base_dipole_moment , base_hardness , base_ovality , base_surface_area , ligand_.C10_NMR_shift , ligand_.C11_NMR_shift , ligand_.C11_electrostatic_charge , ligand_.C12_NMR_shift , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C14_NMR_shift , ligand_.C17_NMR_shift , ligand_.C17_electrostatic_charge , ligand_.C1_electrostatic_charge , ligand_.C2_electrostatic_charge , ligand_.C3_NMR_shift , ligand_.C5_NMR_shift , ligand_.C5_electrostatic_charge , ligand_.C6_electrostatic_charge , ligand_.C7_NMR_shift , ligand_.C8_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.H11_NMR_shift , ligand_.H11_electrostatic_charge , ligand_.H3_NMR_shift , ligand_.H4_NMR_shift , ligand_.H4_electrostatic_charge , ligand_.H9_NMR_shift , ligand_.H9_electrostatic_charge , ligand_V10_frequency , ligand_V10_intensity , ligand_V1_intensity , ligand_V2_intensity , ligand_V3_frequency , ligand_V3_intensity , ligand_V6_frequency , ligand_V8_frequency , yield 
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.570986,-0.467225,0.248132,0.082068,0.293298,-0.265452,0.634119,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,10.66
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.568563,-0.467402,-0.033,0.238116,0.254299,-0.265452,0.833543,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,14.75
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.33689,0.067187,-0.122636,0.264124,0.209824,-0.280068,1.055124,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,18.28
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.539816,-0.545883,-0.774534,1.122389,0.286935,-0.280068,0.279589,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,2.48
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.534041,-0.54314,-0.729716,0.862309,3.314976,3.695556,0.479012,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,6.12
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-1.402122,-1.057556,-1.198269,1.330453,0.206843,-0.280068,0.722752,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,5.45
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.556549,-0.452184,0.239983,-0.282045,0.416006,-0.265452,0.811385,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,7.8
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.553146,-0.45006,0.015893,-0.178013,-0.839555,-0.265452,0.98865,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,14.23
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-0.66387,2.202713,-0.134859,-0.099988,-0.847995,-0.280068,1.232389,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,15.41
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.608885,-0.388744,1.666011,-1.53043,-0.299728,-0.265452,-1.40443,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,9.47
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.615098,-0.390691,1.706755,-1.738495,-0.374495,-0.265452,-1.160691,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,15.24
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-2.887677,0.731575,1.759722,-1.894543,-0.479017,-0.280068,-0.894793,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,19.59
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.557348,-0.501466,-0.782683,0.602228,-0.605928,-0.265452,-1.426589,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,7.79
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.555311,-0.496954,-0.92936,0.654244,-0.647841,-0.265452,-1.205007,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,9.68
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-0.645694,2.394801,-1.308277,1.070373,-0.716429,-0.265452,-0.939109,-0.519769,1.203806,1.30054,-0.718434,1.348991,1.386635,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,13.18
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.570986,-0.467225,0.248132,0.082068,0.293298,-0.265452,0.634119,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,14.02
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.568563,-0.467402,-0.033,0.238116,0.254299,-0.265452,0.833543,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,30.59
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.33689,0.067187,-0.122636,0.264124,0.209824,-0.280068,1.055124,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,38.16
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.539816,-0.545883,-0.774534,1.122389,0.286935,-0.280068,0.279589,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,0.46
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.534041,-0.54314,-0.729716,0.862309,3.314976,3.695556,0.479012,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,3.87
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-1.402122,-1.057556,-1.198269,1.330453,0.206843,-0.280068,0.722752,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,7.02
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.556549,-0.452184,0.239983,-0.282045,0.416006,-0.265452,0.811385,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,2.85
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.553146,-0.45006,0.015893,-0.178013,-0.839555,-0.265452,0.98865,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,18.87
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-0.66387,2.202713,-0.134859,-0.099988,-0.847995,-0.280068,1.232389,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,25.07
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.608885,-0.388744,1.666011,-1.53043,-0.299728,-0.265452,-1.40443,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,21.67
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.615098,-0.390691,1.706755,-1.738495,-0.374495,-0.265452,-1.160691,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,48.49
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-2.887677,0.731575,1.759722,-1.894543,-0.479017,-0.280068,-0.894793,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,58.61
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.557348,-0.501466,-0.782683,0.602228,-0.605928,-0.265452,-1.426589,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,4.17
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.555311,-0.496954,-0.92936,0.654244,-0.647841,-0.265452,-1.205007,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,11.38
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,-0.645694,2.394801,-1.308277,1.070373,-0.716429,-0.265452,-0.939109,-0.901301,-1.257498,-1.145639,-0.718434,-0.276049,-0.413591,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,24.42
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.570986,-0.467225,0.248132,0.082068,0.293298,-0.265452,0.634119,1.374737,0.042292,-0.15966,1.391542,-1.045503,-0.949447,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,14.97
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.568563,-0.467402,-0.033,0.238116,0.254299,-0.265452,0.833543,1.374737,0.042292,-0.15966,1.391542,-1.045503,-0.949447,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,30.29
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.33689,0.067187,-0.122636,0.264124,0.209824,-0.280068,1.055124,1.374737,0.042292,-0.15966,1.391542,-1.045503,-0.949447,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,39.58
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.539816,-0.545883,-0.774534,1.122389,0.286935,-0.280068,0.279589,1.374737,0.042292,-0.15966,1.391542,-1.045503,-0.949447,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,0.34
-0.070762,0.945404,-0.398669,-0.603721,-0.438111,-0.211027,-0.063759,-0.443595,-0.163622,0.534041,-0.54314,-0.729716,0.862309,3.314976,3.695556,0.479012,1.374737,0.042292,-0.15966,1.391542,-1.045503,-0.949447,0.263884,-0.61793,0.957226,-1.050006,-0.462761,-1.37714,0.699741,-0.651927,-1.325368,-0.824471,-0.525429,1.01399,-1.087005,-1.081315,1.513452,0.721067,-0.859707,0.674433,1.142689,0.264945,1.021226,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.061407,-0.896134,1.675731,-1.481912,1.323771,1.688278,3.12
