 additive_.C3_NMR_shift , additive_.C3_electrostatic_charge , additive_.C4_electrostatic_charge , additive_.C5_electrostatic_charge , additive_.N1_electrostatic_charge , additive_E_HOMO , additive_electronegativity , additive_molecular_weight , additive_ovality , additive_surface_area , aryl_halide_.C1_NMR_shift , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.H2_electrostatic_charge , aryl_halide_.H3_electrostatic_charge , aryl_halide_V1_frequency , aryl_halide_V3_frequency , aryl_halide_electronegativity , aryl_halide_molecular_volume , aryl_halide_ovality , base_.N1_electrostatic_charge , base_hardness , base_ovality , ligand_.C12_NMR_shift , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C14_electrostatic_charge , ligand_.C16_NMR_shift , ligand_.C16_electrostatic_charge , ligand_.C17_electrostatic_charge , ligand_.C2_NMR_shift , ligand_.C3_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C6_NMR_shift , ligand_.C6_electrostatic_charge , ligand_.C7_electrostatic_charge , ligand_.H11_NMR_shift , ligand_.H11_electrostatic_charge , ligand_.H3_electrostatic_charge , ligand_.H4_NMR_shift , ligand_.H4_electrostatic_charge , ligand_.H9_NMR_shift , ligand_.H9_electrostatic_charge , ligand_V10_frequency , ligand_V10_intensity , ligand_V1_frequency , ligand_V2_intensity , ligand_V3_intensity , ligand_V4_frequency , ligand_V4_intensity , ligand_V7_frequency , ligand_dipole_moment , yield 
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.570986,0.28035,-0.467225,0.248132,1.002774,0.082068,-0.242168,0.794127,-0.256275,0.507799,0.634119,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,10.66
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.568563,0.336673,-0.467402,-0.033,-0.227384,0.238116,-0.24992,0.522362,-0.256275,0.735289,0.833543,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,14.75
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.33689,0.080986,0.067187,-0.122636,-0.713726,0.264124,-0.260124,-0.191327,-0.256275,1.082324,1.055124,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,18.28
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.539816,0.291794,-0.545883,-0.774534,0.831124,1.122389,-0.364317,0.48661,-0.295399,0.260132,0.279589,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,2.48
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.534041,0.345971,-0.54314,-0.729716,-0.255992,0.862309,3.690313,3.134349,3.695162,0.487118,0.479012,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,6.12
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,-1.402122,-1.624068,-1.057556,-1.198269,-0.799551,1.330453,-0.383154,-0.479186,-0.295399,0.833649,0.722752,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,5.45
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.556549,0.27445,-0.452184,0.239983,1.088599,-0.282045,-0.25727,0.170985,-0.295399,0.748404,0.811385,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,7.8
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.553146,0.331488,-0.45006,0.015893,-0.112951,-0.178013,-0.270149,-0.137391,-0.295399,0.976398,0.98865,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,14.23
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,-0.66387,0.306098,2.202713,-0.134859,-0.685117,-0.099988,-0.279797,-0.906121,-0.282358,1.322929,1.232389,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,15.41
-0.960592,-0.780231,0.000003,-0.070762,0.264299,0.58013,-0.211027,-0.20607,-0.443595,-0.163622,0.608885,0.208472,-0.388744,1.666011,1.918241,-1.53043,-0.182975,-0.002738,-0.256275,-1.431666,-1.40443,-0.519769,-0.718434,1.348991,-1.050006,-0.462761,-1.37714,0.230766,0.070231,-1.591601,-1.325368,-1.357145,-0.077387,-1.081315,0.531409,1.513452,-1.115021,1.142689,0.264945,-0.594215,0.926532,-1.058716,-0.653141,-0.895436,1.721359,1.756769,-0.568382,-0.896134,-1.481912,-0.569719,-0.418783,-0.419848,-1.023661,9.47
