 additive_.C4_electrostatic_charge , additive_.C5_NMR_shift , additive_.N1_electrostatic_charge , additive_molecular_volume , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_V1_intensity , aryl_halide_V3_frequency , aryl_halide_molecular_volume , base_electronegativity , ligand_.C10_NMR_shift , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_V10_intensity , yield 
0.000003,1.049181,0.264299,-0.063759,0.570986,-0.467225,0.248132,-0.421392,0.794127,0.507799,-0.922213,0.263884,-0.462761,-1.37714,1.756769,10.66
0.000003,1.049181,0.264299,-0.063759,0.568563,-0.467402,-0.033,-0.375834,0.522362,0.735289,-0.922213,0.263884,-0.462761,-1.37714,1.756769,14.75
0.000003,1.049181,0.264299,-0.063759,0.33689,0.067187,-0.122636,-0.382903,-0.191327,1.082324,-0.922213,0.263884,-0.462761,-1.37714,1.756769,18.28
0.000003,1.049181,0.264299,-0.063759,0.539816,-0.545883,-0.774534,-0.790703,0.48661,0.260132,-0.922213,0.263884,-0.462761,-1.37714,1.756769,2.48
0.000003,1.049181,0.264299,-0.063759,0.534041,-0.54314,-0.729716,0.815621,3.134349,0.487118,-0.922213,0.263884,-0.462761,-1.37714,1.756769,6.12
0.000003,1.049181,0.264299,-0.063759,-1.402122,-1.057556,-1.198269,-0.784288,-0.479186,0.833649,-0.922213,0.263884,-0.462761,-1.37714,1.756769,5.45
0.000003,1.049181,0.264299,-0.063759,0.556549,-0.452184,0.239983,-0.477554,0.170985,0.748404,-0.922213,0.263884,-0.462761,-1.37714,1.756769,7.8
0.000003,1.049181,0.264299,-0.063759,0.553146,-0.45006,0.015893,-0.459095,-0.137391,0.976398,-0.922213,0.263884,-0.462761,-1.37714,1.756769,14.23
0.000003,1.049181,0.264299,-0.063759,-0.66387,2.202713,-0.134859,-0.480173,-0.906121,1.322929,-0.922213,0.263884,-0.462761,-1.37714,1.756769,15.41
0.000003,1.049181,0.264299,-0.063759,0.608885,-0.388744,1.666011,-0.795154,-0.002738,-1.431666,-0.922213,0.263884,-0.462761,-1.37714,1.756769,9.47
0.000003,1.049181,0.264299,-0.063759,0.615098,-0.390691,1.706755,-0.778135,-0.221181,-1.200645,-0.922213,0.263884,-0.462761,-1.37714,1.756769,15.24
0.000003,1.049181,0.264299,-0.063759,-2.887677,0.731575,1.759722,-0.728911,-0.914721,-0.850079,-0.922213,0.263884,-0.462761,-1.37714,1.756769,19.59
0.000003,1.049181,0.264299,-0.063759,0.557348,-0.501466,-0.782683,1.846051,-0.282365,-1.429649,-0.922213,0.263884,-0.462761,-1.37714,1.756769,7.79
0.000003,1.049181,0.264299,-0.063759,0.555311,-0.496954,-0.92936,1.768157,-0.559904,-1.201654,-0.922213,0.263884,-0.462761,-1.37714,1.756769,9.68
0.000003,1.049181,0.264299,-0.063759,-0.645694,2.394801,-1.308277,1.926564,-1.137711,-0.854114,-0.922213,0.263884,-0.462761,-1.37714,1.756769,13.18
0.000003,1.049181,0.264299,-0.063759,0.570986,-0.467225,0.248132,-0.421392,0.794127,0.507799,1.403618,0.263884,-0.462761,-1.37714,1.756769,14.02
0.000003,1.049181,0.264299,-0.063759,0.568563,-0.467402,-0.033,-0.375834,0.522362,0.735289,1.403618,0.263884,-0.462761,-1.37714,1.756769,30.59
0.000003,1.049181,0.264299,-0.063759,0.33689,0.067187,-0.122636,-0.382903,-0.191327,1.082324,1.403618,0.263884,-0.462761,-1.37714,1.756769,38.16
0.000003,1.049181,0.264299,-0.063759,0.539816,-0.545883,-0.774534,-0.790703,0.48661,0.260132,1.403618,0.263884,-0.462761,-1.37714,1.756769,0.46
0.000003,1.049181,0.264299,-0.063759,0.534041,-0.54314,-0.729716,0.815621,3.134349,0.487118,1.403618,0.263884,-0.462761,-1.37714,1.756769,3.87
0.000003,1.049181,0.264299,-0.063759,-1.402122,-1.057556,-1.198269,-0.784288,-0.479186,0.833649,1.403618,0.263884,-0.462761,-1.37714,1.756769,7.02
0.000003,1.049181,0.264299,-0.063759,0.556549,-0.452184,0.239983,-0.477554,0.170985,0.748404,1.403618,0.263884,-0.462761,-1.37714,1.756769,2.85
0.000003,1.049181,0.264299,-0.063759,0.553146,-0.45006,0.015893,-0.459095,-0.137391,0.976398,1.403618,0.263884,-0.462761,-1.37714,1.756769,18.87
0.000003,1.049181,0.264299,-0.063759,-0.66387,2.202713,-0.134859,-0.480173,-0.906121,1.322929,1.403618,0.263884,-0.462761,-1.37714,1.756769,25.07
0.000003,1.049181,0.264299,-0.063759,0.608885,-0.388744,1.666011,-0.795154,-0.002738,-1.431666,1.403618,0.263884,-0.462761,-1.37714,1.756769,21.67
0.000003,1.049181,0.264299,-0.063759,0.615098,-0.390691,1.706755,-0.778135,-0.221181,-1.200645,1.403618,0.263884,-0.462761,-1.37714,1.756769,48.49
0.000003,1.049181,0.264299,-0.063759,-2.887677,0.731575,1.759722,-0.728911,-0.914721,-0.850079,1.403618,0.263884,-0.462761,-1.37714,1.756769,58.61
0.000003,1.049181,0.264299,-0.063759,0.557348,-0.501466,-0.782683,1.846051,-0.282365,-1.429649,1.403618,0.263884,-0.462761,-1.37714,1.756769,4.17
0.000003,1.049181,0.264299,-0.063759,0.555311,-0.496954,-0.92936,1.768157,-0.559904,-1.201654,1.403618,0.263884,-0.462761,-1.37714,1.756769,11.38
0.000003,1.049181,0.264299,-0.063759,-0.645694,2.394801,-1.308277,1.926564,-1.137711,-0.854114,1.403618,0.263884,-0.462761,-1.37714,1.756769,24.42
0.000003,1.049181,0.264299,-0.063759,0.570986,-0.467225,0.248132,-0.421392,0.794127,0.507799,-0.457047,0.263884,-0.462761,-1.37714,1.756769,14.97
0.000003,1.049181,0.264299,-0.063759,0.568563,-0.467402,-0.033,-0.375834,0.522362,0.735289,-0.457047,0.263884,-0.462761,-1.37714,1.756769,30.29
0.000003,1.049181,0.264299,-0.063759,0.33689,0.067187,-0.122636,-0.382903,-0.191327,1.082324,-0.457047,0.263884,-0.462761,-1.37714,1.756769,39.58
0.000003,1.049181,0.264299,-0.063759,0.539816,-0.545883,-0.774534,-0.790703,0.48661,0.260132,-0.457047,0.263884,-0.462761,-1.37714,1.756769,0.34
0.000003,1.049181,0.264299,-0.063759,0.534041,-0.54314,-0.729716,0.815621,3.134349,0.487118,-0.457047,0.263884,-0.462761,-1.37714,1.756769,3.12
0.000003,1.049181,0.264299,-0.063759,-1.402122,-1.057556,-1.198269,-0.784288,-0.479186,0.833649,-0.457047,0.263884,-0.462761,-1.37714,1.756769,5.14
0.000003,1.049181,0.264299,-0.063759,0.556549,-0.452184,0.239983,-0.477554,0.170985,0.748404,-0.457047,0.263884,-0.462761,-1.37714,1.756769,3.92
0.000003,1.049181,0.264299,-0.063759,0.553146,-0.45006,0.015893,-0.459095,-0.137391,0.976398,-0.457047,0.263884,-0.462761,-1.37714,1.756769,15.4
0.000003,1.049181,0.264299,-0.063759,-0.66387,2.202713,-0.134859,-0.480173,-0.906121,1.322929,-0.457047,0.263884,-0.462761,-1.37714,1.756769,22.45
0.000003,1.049181,0.264299,-0.063759,0.608885,-0.388744,1.666011,-0.795154,-0.002738,-1.431666,-0.457047,0.263884,-0.462761,-1.37714,1.756769,23.69
0.000003,1.049181,0.264299,-0.063759,0.615098,-0.390691,1.706755,-0.778135,-0.221181,-1.200645,-0.457047,0.263884,-0.462761,-1.37714,1.756769,42.69
0.000003,1.049181,0.264299,-0.063759,-2.887677,0.731575,1.759722,-0.728911,-0.914721,-0.850079,-0.457047,0.263884,-0.462761,-1.37714,1.756769,54.83
0.000003,1.049181,0.264299,-0.063759,0.557348,-0.501466,-0.782683,1.846051,-0.282365,-1.429649,-0.457047,0.263884,-0.462761,-1.37714,1.756769,6.35
0.000003,1.049181,0.264299,-0.063759,0.555311,-0.496954,-0.92936,1.768157,-0.559904,-1.201654,-0.457047,0.263884,-0.462761,-1.37714,1.756769,14.16
0.000003,1.049181,0.264299,-0.063759,-0.645694,2.394801,-1.308277,1.926564,-1.137711,-0.854114,-0.457047,0.263884,-0.462761,-1.37714,1.756769,17.38
