 additive_.C4_NMR_shift , additive_.C4_electrostatic_charge , additive_V1_intensity , additive_hardness , additive_molecular_weight , additive_ovality , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.H2_electrostatic_charge , aryl_halide_V2_intensity , aryl_halide_molecular_volume , base_E_HOMO , base_hardness , base_molecular_weight , ligand_.C12_electrostatic_charge , ligand_.C17_electrostatic_charge , ligand_.C1_electrostatic_charge , ligand_.H11_NMR_shift , ligand_.H9_electrostatic_charge , yield 
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.28035,-0.467225,1.002774,-0.414821,0.507799,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,10.66
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.336673,-0.467402,-0.227384,-0.438797,0.735289,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,14.75
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.080986,0.067187,-0.713726,-0.46231,1.082324,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,18.28
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.291794,-0.545883,0.831124,1.281066,0.260132,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,2.48
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.345971,-0.54314,-0.255992,2.602441,0.487118,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,6.12
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-1.624068,-1.057556,-0.799551,2.043338,0.833649,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,5.45
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27445,-0.452184,1.088599,-0.519403,0.748404,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,7.8
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.331488,-0.45006,-0.112951,-0.52086,0.976398,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,14.23
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.306098,2.202713,-0.685117,-0.521092,1.322929,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,15.41
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.208472,-0.388744,1.918241,-0.452077,-1.431666,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,9.47
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27749,-0.390691,0.859733,-0.370445,-1.200645,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,15.24
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,1.276634,0.731575,0.831124,-0.241722,-0.850079,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,19.59
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.378334,-0.501466,-0.170167,-0.514799,-1.429649,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,7.79
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.434656,-0.496954,-1.228676,-0.51821,-1.201654,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,9.68
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-3.000127,2.394801,-1.886667,-0.517714,-0.854114,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,13.18
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.28035,-0.467225,1.002774,-0.414821,0.507799,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,14.02
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.336673,-0.467402,-0.227384,-0.438797,0.735289,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,30.59
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.080986,0.067187,-0.713726,-0.46231,1.082324,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,38.16
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.291794,-0.545883,0.831124,1.281066,0.260132,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,0.46
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.345971,-0.54314,-0.255992,2.602441,0.487118,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,3.87
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-1.624068,-1.057556,-0.799551,2.043338,0.833649,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,7.02
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27445,-0.452184,1.088599,-0.519403,0.748404,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,2.85
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.331488,-0.45006,-0.112951,-0.52086,0.976398,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,18.87
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.306098,2.202713,-0.685117,-0.521092,1.322929,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,25.07
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.208472,-0.388744,1.918241,-0.452077,-1.431666,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,21.67
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27749,-0.390691,0.859733,-0.370445,-1.200645,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,48.49
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,1.276634,0.731575,0.831124,-0.241722,-0.850079,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,58.61
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.378334,-0.501466,-0.170167,-0.514799,-1.429649,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,4.17
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.434656,-0.496954,-1.228676,-0.51821,-1.201654,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,11.38
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-3.000127,2.394801,-1.886667,-0.517714,-0.854114,-1.257498,-0.718434,-0.590997,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,24.42
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.28035,-0.467225,1.002774,-0.414821,0.507799,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,14.97
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.336673,-0.467402,-0.227384,-0.438797,0.735289,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,30.29
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.080986,0.067187,-0.713726,-0.46231,1.082324,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,39.58
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.291794,-0.545883,0.831124,1.281066,0.260132,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,0.34
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.345971,-0.54314,-0.255992,2.602441,0.487118,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,3.12
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-1.624068,-1.057556,-0.799551,2.043338,0.833649,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,5.14
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27445,-0.452184,1.088599,-0.519403,0.748404,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,3.92
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.331488,-0.45006,-0.112951,-0.52086,0.976398,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,15.4
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.306098,2.202713,-0.685117,-0.521092,1.322929,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,22.45
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.208472,-0.388744,1.918241,-0.452077,-1.431666,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,23.69
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.27749,-0.390691,0.859733,-0.370445,-1.200645,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,42.69
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,1.276634,0.731575,0.831124,-0.241722,-0.850079,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,54.83
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.378334,-0.501466,-0.170167,-0.514799,-1.429649,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,6.35
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,0.434656,-0.496954,-1.228676,-0.51821,-1.201654,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,14.16
-0.752083,0.000003,-0.603721,-0.869706,-0.20607,-0.443595,-3.000127,2.394801,-1.886667,-0.517714,-0.854114,0.042292,1.391542,-0.806544,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,17.38
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.28035,-0.467225,1.002774,-0.414821,0.507799,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,3.61
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.336673,-0.467402,-0.227384,-0.438797,0.735289,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,35.08
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.080986,0.067187,-0.713726,-0.46231,1.082324,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,43.32
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.345971,-0.54314,-0.255992,2.602441,0.487118,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,29.3
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,-1.624068,-1.057556,-0.799551,2.043338,0.833649,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,37.57
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.27445,-0.452184,1.088599,-0.519403,0.748404,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,0.96
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.331488,-0.45006,-0.112951,-0.52086,0.976398,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,59.02
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.306098,2.202713,-0.685117,-0.521092,1.322929,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,70.97
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.208472,-0.388744,1.918241,-0.452077,-1.431666,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,35.14
0.432625,-0.443267,-0.698398,0.603809,0.008139,0.651549,0.27749,-0.390691,0.859733,-0.370445,-1.200645,1.203806,-0.718434,1.415642,-0.120792,-1.325368,-0.824471,1.142689,-0.895436,37.65
