 additive_.C3_electrostatic_charge , additive_.C5_electrostatic_charge , aryl_halide_.C1_NMR_shift , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , base_surface_area , ligand_.C12_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C9_electrostatic_charge , ligand_V3_frequency , yield 
-0.780231,-0.070762,0.570986,0.28035,-0.467225,1.386635,-0.120792,-1.081315,-0.492467,1.675731,10.66
-0.780231,-0.070762,0.568563,0.336673,-0.467402,1.386635,-0.120792,-1.081315,-0.492467,1.675731,14.75
-0.780231,-0.070762,0.33689,0.080986,0.067187,1.386635,-0.120792,-1.081315,-0.492467,1.675731,18.28
-0.780231,-0.070762,0.539816,0.291794,-0.545883,1.386635,-0.120792,-1.081315,-0.492467,1.675731,2.48
-0.780231,-0.070762,0.534041,0.345971,-0.54314,1.386635,-0.120792,-1.081315,-0.492467,1.675731,6.12
-0.780231,-0.070762,-1.402122,-1.624068,-1.057556,1.386635,-0.120792,-1.081315,-0.492467,1.675731,5.45
-0.780231,-0.070762,0.556549,0.27445,-0.452184,1.386635,-0.120792,-1.081315,-0.492467,1.675731,7.8
-0.780231,-0.070762,0.553146,0.331488,-0.45006,1.386635,-0.120792,-1.081315,-0.492467,1.675731,14.23
-0.780231,-0.070762,-0.66387,0.306098,2.202713,1.386635,-0.120792,-1.081315,-0.492467,1.675731,15.41
-0.780231,-0.070762,0.608885,0.208472,-0.388744,1.386635,-0.120792,-1.081315,-0.492467,1.675731,9.47
-0.780231,-0.070762,0.615098,0.27749,-0.390691,1.386635,-0.120792,-1.081315,-0.492467,1.675731,15.24
-0.780231,-0.070762,-2.887677,1.276634,0.731575,1.386635,-0.120792,-1.081315,-0.492467,1.675731,19.59
-0.780231,-0.070762,0.557348,0.378334,-0.501466,1.386635,-0.120792,-1.081315,-0.492467,1.675731,7.79
-0.780231,-0.070762,0.555311,0.434656,-0.496954,1.386635,-0.120792,-1.081315,-0.492467,1.675731,9.68
-0.780231,-0.070762,-0.645694,-3.000127,2.394801,1.386635,-0.120792,-1.081315,-0.492467,1.675731,13.18
-0.780231,-0.070762,0.570986,0.28035,-0.467225,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,14.02
-0.780231,-0.070762,0.568563,0.336673,-0.467402,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,30.59
-0.780231,-0.070762,0.33689,0.080986,0.067187,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,38.16
-0.780231,-0.070762,0.539816,0.291794,-0.545883,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,0.46
-0.780231,-0.070762,0.534041,0.345971,-0.54314,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,3.87
-0.780231,-0.070762,-1.402122,-1.624068,-1.057556,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,7.02
-0.780231,-0.070762,0.556549,0.27445,-0.452184,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,2.85
-0.780231,-0.070762,0.553146,0.331488,-0.45006,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,18.87
-0.780231,-0.070762,-0.66387,0.306098,2.202713,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,25.07
-0.780231,-0.070762,0.608885,0.208472,-0.388744,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,21.67
-0.780231,-0.070762,0.615098,0.27749,-0.390691,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,48.49
-0.780231,-0.070762,-2.887677,1.276634,0.731575,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,58.61
-0.780231,-0.070762,0.557348,0.378334,-0.501466,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,4.17
-0.780231,-0.070762,0.555311,0.434656,-0.496954,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,11.38
-0.780231,-0.070762,-0.645694,-3.000127,2.394801,-0.413591,-0.120792,-1.081315,-0.492467,1.675731,24.42
-0.780231,-0.070762,0.570986,0.28035,-0.467225,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,14.97
-0.780231,-0.070762,0.568563,0.336673,-0.467402,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,30.29
-0.780231,-0.070762,0.33689,0.080986,0.067187,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,39.58
-0.780231,-0.070762,0.539816,0.291794,-0.545883,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,0.34
-0.780231,-0.070762,0.534041,0.345971,-0.54314,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,3.12
-0.780231,-0.070762,-1.402122,-1.624068,-1.057556,-0.949447,-0.120792,-1.081315,-0.492467,1.675731,5.14
