 additive_.C5_electrostatic_charge , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_dipole_moment , base_molecular_weight , ligand_.C7_NMR_shift , ligand_.H9_NMR_shift , ligand_V2_intensity , yield 
-0.070762,0.570986,-0.467225,-1.710721,1.415642,0.721067,-0.653141,-0.896134,10.66
-0.070762,0.568563,-0.467402,-1.729249,1.415642,0.721067,-0.653141,-0.896134,14.75
-0.070762,0.33689,0.067187,-1.388835,1.415642,0.721067,-0.653141,-0.896134,18.28
-0.070762,0.539816,-0.545883,0.658154,1.415642,0.721067,-0.653141,-0.896134,2.48
-0.070762,0.534041,-0.54314,0.74786,1.415642,0.721067,-0.653141,-0.896134,6.12
-0.070762,-1.402122,-1.057556,0.525511,1.415642,0.721067,-0.653141,-0.896134,5.45
-0.070762,0.556549,-0.452184,0.027862,1.415642,0.721067,-0.653141,-0.896134,7.8
-0.070762,0.553146,-0.45006,0.117611,1.415642,0.721067,-0.653141,-0.896134,14.23
-0.070762,-0.66387,2.202713,-0.141682,1.415642,0.721067,-0.653141,-0.896134,15.41
-0.070762,0.608885,-0.388744,1.354264,1.415642,0.721067,-0.653141,-0.896134,9.47
-0.070762,0.615098,-0.390691,1.421563,1.415642,0.721067,-0.653141,-0.896134,15.24
-0.070762,-2.887677,0.731575,1.171973,1.415642,0.721067,-0.653141,-0.896134,19.59
-0.070762,0.557348,-0.501466,-0.23975,1.415642,0.721067,-0.653141,-0.896134,7.79
-0.070762,0.555311,-0.496954,-0.242991,1.415642,0.721067,-0.653141,-0.896134,9.68
-0.070762,-0.645694,2.394801,-0.352563,1.415642,0.721067,-0.653141,-0.896134,13.18
-0.070762,0.570986,-0.467225,-1.710721,-0.590997,0.721067,-0.653141,-0.896134,14.02
-0.070762,0.568563,-0.467402,-1.729249,-0.590997,0.721067,-0.653141,-0.896134,30.59
-0.070762,0.33689,0.067187,-1.388835,-0.590997,0.721067,-0.653141,-0.896134,38.16
-0.070762,0.539816,-0.545883,0.658154,-0.590997,0.721067,-0.653141,-0.896134,0.46
