 additive_.C3_electrostatic_charge , additive_.C4_NMR_shift , additive_.O1_electrostatic_charge , additive_E_HOMO , additive_electronegativity , additive_hardness , additive_ovality , additive_surface_area , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.H2_NMR_shift , aryl_halide_.H3_electrostatic_charge , aryl_halide_V1_frequency , aryl_halide_V1_intensity , aryl_halide_molecular_volume , aryl_halide_ovality , aryl_halide_surface_area , base_.N1_electrostatic_charge , base_E_LUMO , base_dipole_moment , ligand_.C12_electrostatic_charge , ligand_.C13_NMR_shift , ligand_.C13_electrostatic_charge , ligand_.C14_NMR_shift , ligand_.C14_electrostatic_charge , ligand_.C15_NMR_shift , ligand_.C15_electrostatic_charge , ligand_.C16_electrostatic_charge , ligand_.C17_electrostatic_charge , ligand_.C2_NMR_shift , ligand_.C2_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C6_electrostatic_charge , ligand_.H11_electrostatic_charge , ligand_.H3_NMR_shift , ligand_.H3_electrostatic_charge , ligand_.H9_NMR_shift , ligand_V10_intensity , ligand_V2_intensity , ligand_V3_frequency , ligand_V9_intensity , yield 
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.28035,-0.467225,-0.71963,0.082068,-0.242168,-0.421392,0.507799,0.634119,0.538386,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,10.66
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.336673,-0.467402,-0.718703,0.238116,-0.24992,-0.375834,0.735289,0.833543,0.759639,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,14.75
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.080986,0.067187,1.572531,0.264124,-0.260124,-0.382903,1.082324,1.055124,1.080505,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,18.28
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.291794,-0.545883,-0.720804,1.122389,-0.364317,-0.790703,0.260132,0.279589,0.260142,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,2.48
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.345971,-0.54314,-0.719877,0.862309,3.690313,0.815621,0.487118,0.479012,0.481396,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,6.12
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,-1.624068,-1.057556,1.42066,1.330453,-0.383154,-0.784288,0.833649,0.722752,0.801304,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,5.45
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.27445,-0.452184,-0.720681,-0.282045,-0.25727,-0.477554,0.748404,0.811385,0.762991,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,7.8
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.331488,-0.45006,-0.719877,-0.178013,-0.270149,-0.459095,0.976398,0.98865,0.984724,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,14.23
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.306098,2.202713,1.768844,-0.099988,-0.279797,-0.480173,1.322929,1.232389,1.304631,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,15.41
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.208472,-0.388744,-0.72099,-1.53043,-0.182975,-0.795154,-1.431666,-1.40443,-1.421767,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,9.47
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.27749,-0.390691,-0.720186,-1.738495,-0.200008,-0.778135,-1.200645,-1.160691,-1.192851,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,15.24
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,1.276634,0.731575,1.019317,-1.894543,-0.20189,-0.728911,-0.850079,-0.894793,-0.864323,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,19.59
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.378334,-0.501466,-0.719073,0.602228,-0.30727,1.846051,-1.429649,-1.426589,-1.423683,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,7.79
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.434656,-0.496954,-0.718146,0.654244,-0.311306,1.768157,-1.201654,-1.205007,-1.201472,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,9.68
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,-3.000127,2.394801,0.892294,1.070373,-0.310386,1.926564,-0.854114,-0.939109,-0.880127,-0.519769,0.830295,1.30054,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,13.18
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.28035,-0.467225,-0.71963,0.082068,-0.242168,-0.421392,0.507799,0.634119,0.538386,-0.901301,-1.421259,-1.145639,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,14.02
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.336673,-0.467402,-0.718703,0.238116,-0.24992,-0.375834,0.735289,0.833543,0.759639,-0.901301,-1.421259,-1.145639,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,30.59
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.080986,0.067187,1.572531,0.264124,-0.260124,-0.382903,1.082324,1.055124,1.080505,-0.901301,-1.421259,-1.145639,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,38.16
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.291794,-0.545883,-0.720804,1.122389,-0.364317,-0.790703,0.260132,0.279589,0.260142,-0.901301,-1.421259,-1.145639,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,0.46
-0.780231,-0.752083,0.945404,0.58013,-0.211027,-0.869706,-0.443595,-0.163622,0.345971,-0.54314,-0.719877,0.862309,3.690313,0.815621,0.487118,0.479012,0.481396,-0.901301,-1.421259,-1.145639,-0.120792,-0.462761,-1.37714,0.699741,0.230766,-0.005036,-0.27466,-1.591601,-1.325368,-1.357145,-0.525429,-1.081315,1.513452,0.264945,1.021226,-0.594215,-0.653141,1.756769,-0.896134,1.675731,1.066551,3.87
