 additive_.C5_electrostatic_charge , additive_E_HOMO , additive_dipole_moment , additive_molecular_volume , aryl_halide_.C2_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.H3_electrostatic_charge , aryl_halide_E_HOMO , aryl_halide_E_LUMO , aryl_halide_V2_frequency , aryl_halide_V2_intensity , aryl_halide_hardness , aryl_halide_molecular_volume , base_.N1_electrostatic_charge , base_E_HOMO , base_electronegativity , base_hardness , base_ovality , base_surface_area , ligand_.C11_electrostatic_charge , ligand_.C13_electrostatic_charge , ligand_.C16_NMR_shift , ligand_.C17_NMR_shift , ligand_.C17_electrostatic_charge , ligand_.C1_NMR_shift , ligand_.C2_electrostatic_charge , ligand_.C3_electrostatic_charge , ligand_.C5_electrostatic_charge , ligand_.C8_electrostatic_charge , ligand_.H3_NMR_shift , ligand_.H3_electrostatic_charge , ligand_.H4_NMR_shift , ligand_.H4_electrostatic_charge , ligand_.H9_NMR_shift , ligand_V1_frequency , ligand_V6_frequency , ligand_V7_intensity , ligand_V8_intensity , yield 
-0.070762,0.58013,-0.438111,-0.063759,0.28035,-0.467225,0.248132,0.082068,0.258598,0.179111,0.293298,-0.414821,-0.265452,0.507799,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,10.66
-0.070762,0.58013,-0.438111,-0.063759,0.336673,-0.467402,-0.033,0.238116,0.260804,0.158068,0.254299,-0.438797,-0.265452,0.735289,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,14.75
-0.070762,0.58013,-0.438111,-0.063759,0.080986,0.067187,-0.122636,0.264124,0.267078,0.138263,0.209824,-0.46231,-0.280068,1.082324,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,18.28
-0.070762,0.58013,-0.438111,-0.063759,0.291794,-0.545883,-0.774534,1.122389,0.289347,0.523224,0.286935,1.281066,-0.280068,0.260132,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,2.48
-0.070762,0.58013,-0.438111,-0.063759,0.345971,-0.54314,-0.729716,0.862309,-3.695459,-3.663073,3.314976,2.602441,3.695556,0.487118,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,6.12
-0.070762,0.58013,-0.438111,-0.063759,-1.624068,-1.057556,-1.198269,1.330453,0.29114,0.336314,0.206843,2.043338,-0.280068,0.833649,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,5.45
-0.070762,0.58013,-0.438111,-0.063759,0.27445,-0.452184,0.239983,-0.282045,0.277558,0.540554,0.416006,-0.519403,-0.265452,0.748404,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,7.8
-0.070762,0.58013,-0.438111,-0.063759,0.331488,-0.45006,0.015893,-0.178013,0.278178,0.526938,-0.839555,-0.52086,-0.265452,0.976398,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,14.23
-0.070762,0.58013,-0.438111,-0.063759,0.306098,2.202713,-0.134859,-0.099988,0.28197,0.315271,-0.847995,-0.521092,-0.280068,1.322929,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,15.41
-0.070762,0.58013,-0.438111,-0.063759,0.208472,-0.388744,1.666011,-1.53043,0.260942,0.205105,-0.299728,-0.452077,-0.265452,-1.431666,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,9.47
-0.070762,0.58013,-0.438111,-0.063759,0.27749,-0.390691,1.706755,-1.738495,0.263562,0.1853,-0.374495,-0.370445,-0.265452,-1.200645,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,15.24
-0.070762,0.58013,-0.438111,-0.063759,1.276634,0.731575,1.759722,-1.894543,0.271215,0.195203,-0.479017,-0.241722,-0.280068,-0.850079,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,19.59
-0.070762,0.58013,-0.438111,-0.063759,0.378334,-0.501466,-0.782683,0.602228,0.260942,0.198916,-0.605928,-0.514799,-0.265452,-1.429649,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,7.79
-0.070762,0.58013,-0.438111,-0.063759,0.434656,-0.496954,-0.92936,0.654244,0.262942,0.186538,-0.647841,-0.51821,-0.265452,-1.201654,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,9.68
-0.070762,0.58013,-0.438111,-0.063759,-3.000127,2.394801,-1.308277,1.070373,0.269147,0.180349,-0.716429,-0.517714,-0.265452,-0.854114,-0.519769,1.203806,-0.922213,-0.718434,1.348991,1.386635,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,13.18
-0.070762,0.58013,-0.438111,-0.063759,0.28035,-0.467225,0.248132,0.082068,0.258598,0.179111,0.293298,-0.414821,-0.265452,0.507799,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,14.02
-0.070762,0.58013,-0.438111,-0.063759,0.336673,-0.467402,-0.033,0.238116,0.260804,0.158068,0.254299,-0.438797,-0.265452,0.735289,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,30.59
-0.070762,0.58013,-0.438111,-0.063759,0.080986,0.067187,-0.122636,0.264124,0.267078,0.138263,0.209824,-0.46231,-0.280068,1.082324,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,38.16
-0.070762,0.58013,-0.438111,-0.063759,0.291794,-0.545883,-0.774534,1.122389,0.289347,0.523224,0.286935,1.281066,-0.280068,0.260132,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,0.46
-0.070762,0.58013,-0.438111,-0.063759,0.345971,-0.54314,-0.729716,0.862309,-3.695459,-3.663073,3.314976,2.602441,3.695556,0.487118,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,3.87
-0.070762,0.58013,-0.438111,-0.063759,-1.624068,-1.057556,-1.198269,1.330453,0.29114,0.336314,0.206843,2.043338,-0.280068,0.833649,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,7.02
-0.070762,0.58013,-0.438111,-0.063759,0.27445,-0.452184,0.239983,-0.282045,0.277558,0.540554,0.416006,-0.519403,-0.265452,0.748404,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,2.85
-0.070762,0.58013,-0.438111,-0.063759,0.331488,-0.45006,0.015893,-0.178013,0.278178,0.526938,-0.839555,-0.52086,-0.265452,0.976398,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,18.87
-0.070762,0.58013,-0.438111,-0.063759,0.306098,2.202713,-0.134859,-0.099988,0.28197,0.315271,-0.847995,-0.521092,-0.280068,1.322929,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,25.07
-0.070762,0.58013,-0.438111,-0.063759,0.208472,-0.388744,1.666011,-1.53043,0.260942,0.205105,-0.299728,-0.452077,-0.265452,-1.431666,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,21.67
-0.070762,0.58013,-0.438111,-0.063759,0.27749,-0.390691,1.706755,-1.738495,0.263562,0.1853,-0.374495,-0.370445,-0.265452,-1.200645,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,48.49
-0.070762,0.58013,-0.438111,-0.063759,1.276634,0.731575,1.759722,-1.894543,0.271215,0.195203,-0.479017,-0.241722,-0.280068,-0.850079,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,58.61
-0.070762,0.58013,-0.438111,-0.063759,0.378334,-0.501466,-0.782683,0.602228,0.260942,0.198916,-0.605928,-0.514799,-0.265452,-1.429649,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,4.17
-0.070762,0.58013,-0.438111,-0.063759,0.434656,-0.496954,-0.92936,0.654244,0.262942,0.186538,-0.647841,-0.51821,-0.265452,-1.201654,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,11.38
-0.070762,0.58013,-0.438111,-0.063759,-3.000127,2.394801,-1.308277,1.070373,0.269147,0.180349,-0.716429,-0.517714,-0.265452,-0.854114,-0.901301,-1.257498,1.403618,-0.718434,-0.276049,-0.413591,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,24.42
-0.070762,0.58013,-0.438111,-0.063759,0.28035,-0.467225,0.248132,0.082068,0.258598,0.179111,0.293298,-0.414821,-0.265452,0.507799,1.374737,0.042292,-0.457047,1.391542,-1.045503,-0.949447,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,14.97
-0.070762,0.58013,-0.438111,-0.063759,0.336673,-0.467402,-0.033,0.238116,0.260804,0.158068,0.254299,-0.438797,-0.265452,0.735289,1.374737,0.042292,-0.457047,1.391542,-1.045503,-0.949447,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,30.29
-0.070762,0.58013,-0.438111,-0.063759,0.080986,0.067187,-0.122636,0.264124,0.267078,0.138263,0.209824,-0.46231,-0.280068,1.082324,1.374737,0.042292,-0.457047,1.391542,-1.045503,-0.949447,0.957226,-1.37714,0.070231,-0.651927,-1.325368,1.558148,-0.525429,-0.077387,-1.081315,0.674433,1.021226,-0.594215,0.926532,-1.058716,-0.653141,-0.568382,1.323771,1.2461,1.585154,39.58
