 additive_.C3_electrostatic_charge , additive_.C5_NMR_shift , additive_.C5_electrostatic_charge , additive_.N1_electrostatic_charge , additive_E_HOMO , additive_V1_frequency , additive_electronegativity , additive_surface_area , aryl_halide_.C1_NMR_shift , aryl_halide_.C3_NMR_shift , aryl_halide_.C3_electrostatic_charge , aryl_halide_.C4_NMR_shift , aryl_halide_.C4_electrostatic_charge , aryl_halide_.H2_NMR_shift , aryl_halide_.H2_electrostatic_charge , aryl_halide_E_LUMO , aryl_halide_V1_frequency , aryl_halide_V1_intensity , aryl_halide_ovality , base_.N1_electrostatic_charge , base_E_LUMO , base_electronegativity , base_hardness , base_molecular_volume , base_surface_area , ligand_.C10_electrostatic_charge , ligand_.C14_NMR_shift , ligand_.C14_electrostatic_charge , ligand_.C16_electrostatic_charge , ligand_.C17_NMR_shift , ligand_.C17_electrostatic_charge , ligand_.C4_NMR_shift , ligand_.C6_NMR_shift , ligand_.C8_electrostatic_charge , ligand_.C9_NMR_shift , ligand_.H11_NMR_shift , ligand_.H11_electrostatic_charge , ligand_.H4_electrostatic_charge , ligand_.H9_NMR_shift , ligand_V10_intensity , ligand_V3_frequency , ligand_V3_intensity , ligand_V4_intensity , ligand_V6_frequency , yield 
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.570986,-0.467225,0.248132,-0.44251,-0.220205,-0.71963,1.002774,0.179111,-0.242168,-0.421392,0.634119,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,10.66
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.568563,-0.467402,-0.033,-0.441532,-0.04339,-0.718703,-0.227384,0.158068,-0.24992,-0.375834,0.833543,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,14.75
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.33689,0.067187,-0.122636,2.222539,0.02439,1.572531,-0.713726,0.138263,-0.260124,-0.382903,1.055124,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,18.28
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.539816,-0.545883,-0.774534,-0.408553,1.097072,-0.720804,0.831124,0.523224,-0.364317,-0.790703,0.279589,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,2.48
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.534041,-0.54314,-0.729716,-0.407785,1.038133,-0.719877,-0.255992,-3.663073,3.690313,0.815621,0.479012,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,6.12
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,-1.402122,-1.057556,-1.198269,0.416224,1.391765,1.42066,-0.799551,0.336314,-0.383154,-0.784288,0.722752,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,5.45
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.556549,-0.452184,0.239983,-0.427935,-0.058124,-0.720681,1.088599,0.540554,-0.25727,-0.477554,0.811385,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,7.8
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.553146,-0.45006,0.015893,-0.426873,0.065647,-0.719877,-0.112951,0.526938,-0.270149,-0.459095,0.98865,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,14.23
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,-0.66387,2.202713,-0.134859,2.344377,0.162895,1.768844,-0.685117,0.315271,-0.279797,-0.480173,1.232389,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,15.41
-0.780231,1.049181,-0.070762,0.264299,0.58013,0.184409,-0.211027,-0.163622,0.608885,-0.388744,1.666011,-0.45633,-1.699564,-0.72099,1.918241,0.205105,-0.182975,-0.795154,-1.40443,-0.519769,0.830295,-0.922213,-0.718434,1.392101,1.386635,0.309141,0.699741,0.230766,-1.591601,-0.651927,-1.325368,0.969738,0.531409,0.674433,0.780026,1.142689,0.264945,-1.058716,-0.653141,1.756769,1.675731,-1.481912,-0.418783,1.323771,9.47
