aryl_halide_.C3_NMR_shift,aryl_halide_.C2_NMR_shift,additive_.N1_electrostatic_charge,ligand_.H9_NMR_shift,ligand_.H3_NMR_shift,additive_surface_area,additive_dipole_moment,ligand_.H11_electrostatic_charge,aryl_halide_molecular_volume,ligand_V3_frequency,ligand_.H4_NMR_shift,base_hardness,base_dipole_moment,additive_.C5_electrostatic_charge,additive_.C4_electrostatic_charge,ligand_.C11_electrostatic_charge,ligand_.C10_NMR_shift,aryl_halide_.C1_NMR_shift,additive_ovality,additive_.O1_electrostatic_charge,additive_.C3_electrostatic_charge,ligand_V6_frequency,ligand_.C13_electrostatic_charge,base_surface_area,aryl_halide_ovality,aryl_halide_hardness,aryl_halide_V2_frequency,aryl_halide_V1_frequency,additive_electronegativity,ligand_V10_intensity,ligand_.H9_electrostatic_charge,ligand_.C6_NMR_shift,base_.N1_electrostatic_charge,aryl_halide_.H3_electrostatic_charge,aryl_halide_.C3_electrostatic_charge,additive_V1_intensity,ligand_.P1_electrostatic_charge,ligand_.H11_NMR_shift,ligand_.C8_electrostatic_charge,ligand_.C17_electrostatic_charge,ligand_.C17_NMR_shift,base_electronegativity,aryl_halide_V3_frequency,aryl_halide_.H2_NMR_shift,ligand_dipole_moment,ligand_V8_intensity,ligand_V6_intensity,ligand_V5_frequency,ligand_V3_intensity,ligand_.C7_NMR_shift,ligand_.C5_electrostatic_charge,ligand_.C1_NMR_shift,ligand_.C12_electrostatic_charge,aryl_halide_V2_intensity,ligand_V4_intensity,ligand_.C3_NMR_shift,ligand_.C2_electrostatic_charge,ligand_.C1_electrostatic_charge,ligand_.C16_electrostatic_charge,ligand_.C14_electrostatic_charge,ligand_.C14_NMR_shift,ligand_.C13_NMR_shift,ligand_.C11_NMR_shift,base_E_HOMO,aryl_halide_V1_intensity,yield
-0.467225,0.28035,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.507799,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.570986,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.634119,-0.265452,0.293298,-0.242168,-0.211027,1.756769,-0.895436,0.531409,-0.519769,0.082068,0.248132,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,0.794127,-0.71963,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.414821,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.421392,10.66
-0.467402,0.336673,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.735289,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.568563,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.833543,-0.265452,0.254299,-0.24992,-0.211027,1.756769,-0.895436,0.531409,-0.519769,0.238116,-0.033,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,0.522362,-0.718703,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.438797,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.375834,14.75
0.067187,0.080986,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,1.082324,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.33689,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,1.055124,-0.280068,0.209824,-0.260124,-0.211027,1.756769,-0.895436,0.531409,-0.519769,0.264124,-0.122636,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,-0.191327,1.572531,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.46231,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.382903,18.28
-0.545883,0.291794,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.260132,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.539816,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.279589,-0.280068,0.286935,-0.364317,-0.211027,1.756769,-0.895436,0.531409,-0.519769,1.122389,-0.774534,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,0.48661,-0.720804,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,1.281066,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.790703,2.48
-0.54314,0.345971,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.487118,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.534041,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.479012,3.695556,3.314976,3.690313,-0.211027,1.756769,-0.895436,0.531409,-0.519769,0.862309,-0.729716,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,3.134349,-0.719877,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,2.602441,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,0.815621,6.12
-1.057556,-1.624068,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.833649,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,-1.402122,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.722752,-0.280068,0.206843,-0.383154,-0.211027,1.756769,-0.895436,0.531409,-0.519769,1.330453,-1.198269,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,-0.479186,1.42066,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,2.043338,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.784288,5.45
-0.452184,0.27445,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.748404,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.556549,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.811385,-0.265452,0.416006,-0.25727,-0.211027,1.756769,-0.895436,0.531409,-0.519769,-0.282045,0.239983,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,0.170985,-0.720681,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.519403,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.477554,7.8
-0.45006,0.331488,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,0.976398,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.553146,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,0.98865,-0.265452,-0.839555,-0.270149,-0.211027,1.756769,-0.895436,0.531409,-0.519769,-0.178013,0.015893,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,-0.137391,-0.719877,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.52086,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.459095,14.23
2.202713,0.306098,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,1.322929,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,-0.66387,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,1.232389,-0.280068,-0.847995,-0.279797,-0.211027,1.756769,-0.895436,0.531409,-0.519769,-0.099988,-0.134859,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,-0.906121,1.768844,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.521092,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.480173,15.41
-0.388744,0.208472,0.264299,-0.653141,1.021226,-0.163622,-0.438111,0.264945,-1.431666,1.675731,0.926532,-0.718434,1.30054,-0.070762,0.000003,0.957226,0.263884,0.608885,-0.443595,0.945404,-0.780231,1.323771,-1.37714,1.386635,-1.40443,-0.265452,-0.299728,-0.182975,-0.211027,1.756769,-0.895436,0.531409,-0.519769,-1.53043,1.666011,-0.603721,1.258717,1.142689,0.674433,-1.325368,-0.651927,-0.922213,-0.002738,-0.72099,-1.023661,1.585154,-1.305512,-0.396509,-1.481912,0.721067,-1.081315,1.558148,-0.120792,-0.452077,-0.418783,1.01399,-0.525429,-0.824471,-1.591601,0.230766,0.699741,-0.462761,-0.61793,1.203806,-0.795154,9.47
